AEROENG2001,,,,,,,,,,,,,,
CHEMENG3002,,,,,,,,,,,,,,
CHEMENG3101,MATH3304,CHEMENG2110,,,,,,,,,,,,
CHEMENG3111,MATH3304,COMPSCI1971,COMPSCI1981,CHEMENG2100,COMPSCI1500,COMPSCI1972/COMPSCI1982,COMPSCI1570/COMPSCI1580,,,,,,,
COMPSCI1500,,,,,,,,,,,,,,
CHEMENG3120,CHEMENG2100,CHEMENG2110,,,,,,,,,,,,
CHEMENG3131,CHEMENG3101,CHEMENG3111,CHEMENG3120,,,,,,,,,,,
CHEMENG3141,CHEMENG3101,CHEMENG3120,,,,,,,,,,,,
CHEMENG3150,CHEMENG3101,CHEMENG3111,,,,,,,,,,,,
CHEMENG3200,CHEMENG3120,,,,,,,,,,,,,
CHEMENG4000,,,,,,,,,,,,,,
CHEMENG4001,,,,,,,,,,,,,,
CHEMENG4091,CHEMENG3131,CHEMENG3141,CHEMENG3150,ENGLISH1160,ENGLISH3560,,,,,,,,,
ENGLISH1160,ENGLISH1120,,,,,,,,,,,,,
ENGLISH3560,ENGLISH1120,,,,,,,,,,,,,
CHEMENG4097,CHEMENG3150,CHEMENG4091,CHEMENG4110,,,,,,,,,,,
CHEMENG4110,CHEMENG3131,CHEMENG3141,CHEMENG3150,,,,,,,,,,,
CHEMENG4099,,,,,,,,,,,,,,
CHEMENG4101,STAT3113,CHEMENG3141,CHEMENG4110,,,,,,,,,,,
CHEMENG4130,STAT3113,CHEMENG3131,CHEMENG3141,CHEMENG3150,ENGLISH1160,ENGLISH3560,,,,,,,,
CHEMENG4140,CHEMENG3150,,,,,,,,,,,,,
CHEMENG4150,MATH3304,,,,,,,,,,,,,
CHEMENG4200,CHEMENG3200,,,,,,,,,,,,,
CHEMENG4201,STAT3113,CHEMENG5250,,,,,,,,,,,,
CHEMENG5250,CHEMENG3131,CHEMENG3141,,,,,,,,,,,,
CHEMENG4210,CHEMENG3150,,,,,,,,,,,,,
CHEMENG4220,STAT3113,CHEMENG4210,,,,,,,,,,,,
CHEMENG4241,CHEMENG3150,,,,,,,,,,,,,
CHEMENG4301,PHYSICS1135,,,,,,,,,,,,,
CHEMENG4310/ENGMGT5315/MECHENG5644,,,,,,,,,,,,,,
CHEMENG4311,,,,,,,,,,,,,,
CHEMENG5000,,,,,,,,,,,,,,
CHEMENG5001,,,,,,,,,,,,,,
CHEMENG5010,,,,,,,,,,,,,,
CHEMENG5040,,,,,,,,,,,,,,
CHEMENG5100,CHEMENG3101,,,,,,,,,,,,,
CHEMENG5110,CHEMENG3150,,,,,,,,,,,,,
CHEMENG5120,CHEMENG3131,,,,,,,,,,,,,
CHEMENG5130/ENGMGT4312,,,,,,,,,,,,,,
CHEMENG5150,,,,,,,,,,,,,,
CHEMENG5161,CHEMENG3120,,,,,,,,,,,,,
CHEMENG5170,CHEMENG3131,,,,,,,,,,,,,
CHEMENG5190/ELECENG5350,CHEMENG4110,ELECENG3340,ELECENG3320/ELECENG3321,,,,,,,,,,,
ELECENG3340,ELECENG2800,ELECENG2120,,,,,,,,,,,,
CHEMENG5210,CHEMENG3150,,,,,,,,,,,,,
